Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
381232,18,3e-06,4.3e-05,0.0555556
305150,18,5e-06,4.8e-05,0.0555556
1,18,5e-06,4.7e-05,0.111111
7,18,1.3e-05,4.7e-05,0.388889
35,18,3.7e-05,2.9e-05,1.94444
76,18,7.6e-05,4.7e-05,4.22222
50,18,4.9e-05,2.8e-05,2.77778
967,18,0.000534,2.8e-05,53.7222
816,18,0.000524,4.7e-05,45.3333
10,18,1.2e-05,4.7e-05,0.555556
203709,18,4e-06,4.3e-05,0.0555556
208485,18,4e-06,4e-05,0.0555556
48,18,4.8e-05,2.7e-05,2.66667
1,18,6e-06,3.7e-05,0.111111
8612,18,0.005177,3.2e-05,478.444
87,18,7e-05,4.7e-05,4.83333
96,18,9.6e-05,4.7e-05,5.33333
167900,18,4e-06,4.8e-05,0.0555556
11,18,1.3e-05,4.7e-05,0.611111
3127,18,0.002536,5.1e-05,173.722
79,18,8.4e-05,4.7e-05,4.38889
1448,18,0.001263,4.2e-05,80.4444
221608,18,5e-06,4.7e-05,0.0555556
263,18,0.000238,4.7e-05,14.6111
399323,18,1.2e-05,3e-05,0.0555556
299,18,0.000268,5e-05,16.6111
177,18,0.000131,4.6e-05,9.83333
349018,18,4e-06,3.2e-05,0.0555556
46,18,4.7e-05,4.6e-05,2.55556
414374,18,4e-06,4.9e-05,0.0555556
7,18,5e-06,4.5e-05,0.111111
224836,18,4e-06,3.4e-05,0.0555556
1191,18,0.000777,2.8e-05,66.1667
6,18,2e-06,3.5e-05,0.111111
3020,18,0.001728,5.1e-05,167.778
199,18,0.000207,4.5e-05,11.0556
25,18,2.7e-05,5.4e-05,1.38889
117,18,0.000123,4.9e-05,6.5
7,18,1.1e-05,5e-05,0.388889
373467,18,5e-06,4.9e-05,0.0555556
33,18,3.6e-05,4.7e-05,1.83333
303758,18,3e-06,4.9e-05,0.0555556
259,18,0.000249,4.6e-05,14.3889
392723,18,4e-06,4.7e-05,0.0555556
1,18,6e-06,4.9e-05,0.166667
919,18,0.000827,4.4e-05,51.0556
10,18,4e-06,4.8e-05,0.111111
1735,18,0.001579,5e-05,96.3889
